id,sameAs,sameAsNote
ocd-division/country:au/state:nsw/sldl:baulkham_hills,ocd-division/country:au/state:nsw/sldl:kellyville,Baulkham Hills renamed to Kellyville
ocd-division/country:au/state:nsw/sldl:ku-ring-gai,ocd-division/country:au/state:nsw/sldl:wahroonga,Ku-ring-gai renamed to Wahroonga
ocd-division/country:au/state:nsw/sldl:mulgoa,ocd-division/country:au/state:nsw/sldl:badgerys_creek,Mulgoa renamed to Badgerys Creek
ocd-division/country:au/state:nsw/sldl:seven_hills,ocd-division/country:au/state:nsw/sldl:winston_hills,Seven Hills renamed to Winston Hills
ocd-division/country:au/state:wa/sldl:burns_beach,ocd-division/country:au/state:wa/sldl:mindarie,Burns Beach renamed to Mindarie
ocd-division/country:au/state:wa/sldl:mirrabooka,ocd-division/country:au/state:wa/sldl:girrawheen,Mirrabooka renamed to Girrawheen
ocd-division/country:au/state:wa/sldl:warnbro,ocd-division/country:au/state:wa/sldl:secret_harbour,Warnbro renamed to Secret Harbour
ocd-division/country:au/state:wa/sldl:willagee,ocd-division/country:au/state:wa/sldl:bibra_lake,Willagee renamed to Bibra Lake
ocd-division/country:au/state:sa/sldl:frome,ocd-division/country:au/state:sa/sldl:ngadjuri,Frome renamed to Ngadjuri
ocd-division/country:au/state:qld/sldl:bancroft,ocd-division/country:au/state:qld/sldl:deception_bay,Bancroft renamed to Deception Bay
ocd-division/country:au/state:qld/sldl:bonney,ocd-division/country:au/state:qld/sldl:labrador,Bonney renamed to Labrador
ocd-division/country:au/state:qld/sldl:bundamba,ocd-division/country:au/state:qld/sldl:redbank,Bundamba renamed to Redbank
ocd-division/country:au/state:qld/sldl:chatsworth,ocd-division/country:au/state:qld/sldl:carindale,Chatsworth renamed to Carindale
ocd-division/country:au/state:qld/sldl:cooper,ocd-division/country:au/state:qld/sldl:ashgrove,Cooper renamed to Ashgrove
ocd-division/country:au/state:qld/sldl:jordan,ocd-division/country:au/state:qld/sldl:greenbank,Jordan renamed to Greenbank
ocd-division/country:au/state:qld/sldl:macalister,ocd-division/country:au/state:qld/sldl:beenleigh,Macalister renamed to Beenleigh
ocd-division/country:au/state:qld/sldl:maiwar,ocd-division/country:au/state:qld/sldl:indooroopilly,Maiwar renamed to Indooroopilly
ocd-division/country:au/state:qld/sldl:mcconnel,ocd-division/country:au/state:qld/sldl:brisbane_central,Mcconnel renamed to Brisbane Central
ocd-division/country:au/state:qld/sldl:miller,ocd-division/country:au/state:qld/sldl:annerley,Miller renamed to Annerley
ocd-division/country:au/state:qld/sldl:nicklin,ocd-division/country:au/state:qld/sldl:nambour,Nicklin renamed to Nambour
ocd-division/country:au/state:qld/sldl:ninderry,ocd-division/country:au/state:qld/sldl:coolum,Ninderry renamed to Coolum
ocd-division/country:au/state:qld/sldl:oodgeroo,ocd-division/country:au/state:qld/sldl:cleveland,Oodgeroo renamed to Cleveland
ocd-division/country:au/state:qld/sldl:scenic_rim,ocd-division/country:au/state:qld/sldl:beaudesert,Scenic Rim renamed to Beaudesert
ocd-division/country:au/state:qld/sldl:theodore,ocd-division/country:au/state:qld/sldl:oxenford,Theodore renamed to Oxenford
ocd-division/country:au/state:qld/sldl:toohey,ocd-division/country:au/state:qld/sldl:eight_mile_plains,Toohey renamed to Eight Mile Plains
ocd-division/country:au/state:qld/sldl:traeger,ocd-division/country:au/state:qld/sldl:flinders,Traeger renamed to Flinders
